Р-91;r2786091;Асіповічы — Баранавічы;Осиповичи — Барановичи;'name:ru' не супадае з назвай у Законе
Р-92;r2803757;Мар’іна Горка — Старыя Дарогі;Марьина Горка — Старые Дороги;'name:ru' не супадае з назвай у Законе
Р-93;r2790176;Магілёў — Бабруйск;Могилёв — Бобруйск;'name:ru' не супадае з назвай у Законе
Р-94;r2650601;Брэст — Тамашоўка — мяжа Украіны + пад'езд да мяжы Рэспублікі Польшча (Дамачава);Брест — Томашовка — граница Украины + подъезд к границе Республики Польша (Домачево);'name:ru' не супадае з назвай у Законе
Р-95;r2796639;Лынтупы — Свір — Смаргонь — Крэва — Гальшаны;Лынтупы — Свирь — Сморгонь — Крево — Гольшаны;'name:ru' не супадае з назвай у Законе
Р-96;r2792022;Магілёў — Расна — Мсціслаў;Могилёв — Рясно — Мстиславль;'name:ru' не супадае з назвай у Законе
Р-97;r2790177;Магілёў — Быхаў — Рагачоў;Могилёв — Быхов — Рогачёв;'name:ru' не супадае з назвай у Законе
Р-98;r2367157;Мяжа Рэспублікі Польшча (Пясчатка) — Камянец — Шарашова — Свіслач;граница Республики Польша (Песчатка) — Каменец — Шерешево — Свислочь;'name:ru' не супадае з назвай у Законе
Р-99;r158325;Баранавічы — Ваўкавыск — Пагранічны — Гродна;Барановичи — Волковыск — Пограничный — Гродно;'name:ru' не супадае з назвай у Законе
Р-100;r2783535;Масты — Вялікая Бераставіца;Мосты — Большая Берестовица;'name:ru' не супадае з назвай у Законе
Р-101;r2783536;Пружаны — Бяроза;Пружаны — Берёза;'name:ru' не супадае з назвай у Законе
Р-102;r1695182;Высокае — Камянец — Кобрын;Высокое — Каменец — Кобрин;'name:ru' не супадае з назвай у Законе
Р-103;r2786084;Клецк — Ляхавічы;Клецк — Ляховичи;'name:ru' не супадае з назвай у Законе
Р-104;r2786082;Жабінка - Кобрын;Жабинка — Кобрин;'name:ru' не супадае з назвай у Законе
Р-105;r2786081;Ганцавічы — Лагішын;Ганцевичи — Логишин;'name:ru' не супадае з назвай у Законе
Р-106;r2796641;Маладзечна — Смаргонь;Молодечно — Сморгонь;'name:ru' не супадае з назвай у Законе
Р-107;r2786090;Нясвіж — Цімкавічы;Несвиж — Тимковичи;'name:ru' не супадае з назвай у Законе
Р-108;r2786078;Баранавічы — Моўчадзь — Дзятлава;Барановичи — Молчадь — Дятлово;'name:ru' не супадае з назвай у Законе
Р-109;r1749236;Лёзна — Арэхаўск (да аўтамабільнай дарогі М8);Лиозно — Ореховск (до автомобильной дороги М8);'name:ru' не супадае з назвай у Законе
